NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
19859,경기도 화성시 동탄구 청계동,538,0538,0000,동탄역센트럴푸르지오,59.4313,202503,15,"66,200",1327,8,개인,개인,2015,동탄순환대로21길 54,-,중개거래,경기 화성시,2025.5.30
19860,경기도 광주시 경안동,447,0447,0000,경기광주역금호리첸시아,77.32,202503,15,"62,000",101동,20,개인,개인,2021,경안로41번길 6,-,중개거래,경기 광주시,2025.7.1
19861,경기도 양주시 백석읍 방성리,511-2,0511,0002,대교산과내,84.96,202503,15,"15,500",101,10,개인,개인,1999,부흥로 1166-3,-,중개거래,경기 양주시,2025.6.4
19862,경기도 화성시 동탄구 청계동,512,0512,0000,동탄역 시범우남퍼스트빌아파트,59.98,202503,15,"92,000",915,10,개인,개인,2015,동탄대로시범길 276,-,중개거래,경기 화성시,2025.6.26
19863,경기도 광주시 추자동,586,0586,0000,오포추자서희스타힐스,84.8989,202503,15,"37,800",103동,20,개인,개인,2019,오포로 701-3,-,중개거래,경기 광주시,2025.4.10
19864,경기도 광주시 역동,246,0246,0000,이편한세상광주역4단지,84.9099,202503,15,"67,000",-,12,개인,개인,2016,순암로36번길 61,20250425,중개거래,경기 광주시,-
19865,경기도 화성시 동탄구 청계동,512,0512,0000,동탄역 시범우남퍼스트빌아파트,59.98,202503,15,"90,500",915,13,개인,개인,2015,동탄대로시범길 276,-,중개거래,경기 화성시,2025.4.23
19866,경기도 광주시 역동,246,0246,0000,이편한세상광주역4단지,84.9099,202503,15,"67,000",401,12,개인,개인,2016,순암로36번길 61,-,중개거래,경기 광주시,2025.5.19
19867,경기도 화성시 동탄구 영천동,672,0672,0000,동탄역이지더원,59.9792,202503,15,"56,800",309,10,개인,개인,2015,동탄순환대로28길 17,-,중개거래,"경기 수원시 영통구, 경기 화성시 동탄구",2025.8.21
19868,경기도 화성시 동탄구 영천동,874,0874,0000,동탄역대방디엠시티더센텀,59.4656,202503,15,"68,300",103동,33,개인,개인,2021,동탄대로 636-14,-,중개거래,경기 화성시 동탄구,2025.4.25
19869,경기도 광주시 초월읍 대쌍령리,496,0496,0000,쌍용더플래티넘광주,59.9763,202503,15,"35,000",115동,8,개인,개인,2022,경충대로1284번길 40,-,중개거래,경기 광주시,2025.4.23
19870,경기도 광주시 고산동,654,0654,0000,더샵오포센트럴포레,76.95,202503,15,"58,000",103동,18,개인,개인,2022,태성1로 16,-,중개거래,경기 광주시,2025.5.15
19871,경기도 광주시 고산동,182-4,0182,0004,우림(Lumiart),59.68,202503,15,"25,500",101,14,개인,개인,1998,오포로 903,-,중개거래,"경기 광주시, 경기 성남시 중원구",2025.5.9
19872,경기도 광주시 고산동,396,0396,0000,금호,84.111,202503,15,"36,000",102동,1,개인,개인,2002,오포로909번길 32-7,-,중개거래,경기 광주시,2025.6.20
19873,경기도 화성시 동탄구 청계동,545,0545,0000,동탄역신안인스빌리베라1차,101.9997,202503,15,"79,000",1343동,12,개인,개인,2015,동탄순환대로21길 15,-,중개거래,경기 화성시,2025.7.3
19874,경기도 광주시 삼동,504,0504,0000,우남퍼스트빌,84.902,202503,15,"52,000",103,10,개인,개인,2004,고불로 453,-,중개거래,"경기 광주시, 경기 성남시 중원구",2025.6.10
19875,경기도 양주시 덕계동,947,0947,0000,양주회천한양수자인,55.76,202503,15,"33,500",1707동,10,개인,개인,2022,덕계로 100,-,중개거래,"경기 양주시, 경기 의정부시",2025.6.20
19876,경기도 화성시 동탄구 청계동,516,0516,0000,동탄역시범대원칸타빌아파트,84.786,202503,15,"96,300",1457,12,개인,개인,2015,동탄대로시범길 53,-,중개거래,경기 화성시 동탄구,2025.6.27
19877,경기도 화성시 동탄구 청계동,552,0552,0000,동탄역 호반 써밋,84.957,202503,15,"71,500",1202,2,개인,개인,2015,동탄순환대로22길 45,-,중개거래,경기 화성시,2025.6.27
19878,경기도 광주시 탄벌동,771,0771,0000,두산위브광주센트럴파크,84.2146,202503,15,"56,000",105동,24,개인,개인,2024,회안대로 689,-,중개거래,경기 광주시,2025.4.18
19879,경기도 광주시 양벌동,1111,1111,0000,광주역우방아이유쉘2단지,59.7747,202503,15,"47,000",205동,16,개인,개인,2018,청석로 74,-,중개거래,경기 광주시,2025.6.5
19880,경기도 광주시 고산동,654,0654,0000,더샵오포센트럴포레,84.98,202503,15,"64,300",110동,22,개인,개인,2022,태성1로 16,-,중개거래,경기 광주시,2025.6.4
19881,경기도 화성시 동탄구 여울동,1044,1044,0000,반도유보라아이비파크3,59.9942,202503,15,"51,500",1805동,6,개인,개인,2016,동탄대로12길 17,-,중개거래,경기 화성시 동탄구,2025.6.26
19882,경기도 화성시 동탄구 여울동,1044,1044,0000,반도유보라아이비파크3,84.9477,202503,15,"70,500",1812동,2,개인,개인,2016,동탄대로12길 17,-,중개거래,경기 화성시 동탄구,2025.6.18
19883,경기도 화성시 동탄구 반송동,82,0082,0000,시범한빛마을금호어울림,84.54,202503,15,"76,000",243,19,개인,개인,2007,동탄중앙로 213,-,중개거래,경기 화성시,2025.6.10
19884,경기도 화성시 동탄구 반송동,141,0141,0000,동탄센트럴포레스트,84.87,202503,15,"48,700",505,1,개인,개인,2009,동탄중앙로 119-14,-,중개거래,경기 화성시,2025.4.25
19885,경기도 화성시 동탄구 반송동,Sep.90,0090,0009,동탄플래티넘,122.53,202503,15,"61,300",동탄 플래티넘,6,개인,개인,2010,동탄지성로 2,-,중개거래,경기 화성시 동탄구,2025.4.8
19886,경기도 화성시 동탄구 반송동,Sep.90,0090,0009,동탄플래티넘,122.53,202503,15,"61,300",-,6,개인,개인,2010,동탄지성로 2,20250620,직거래,-,-
19887,경기도 화성시 동탄구 반송동,80,0080,0000,동탄시범다은마을 월드메르디앙 반도유보라,59.07,202503,15,"60,500",337,4,개인,개인,2007,동탄중앙로 189,-,중개거래,경기 화성시,2025.6.23
19888,경기도 화성시 동탄구 반송동,80,0080,0000,동탄시범다은마을 월드메르디앙 반도유보라,59.07,202503,15,"60,500",-,4,개인,개인,2007,동탄중앙로 189,20250421,중개거래,경기 화성시,-
19889,경기도 화성시 동탄구 반송동,200,0200,0000,나루마을한화꿈에그린,96.84,202503,15,"58,000",624,6,개인,개인,2007,동탄중앙로 51,-,중개거래,경기 화성시,2025.4.18
19890,경기도 화성시 동탄구 반송동,82,0082,0000,시범한빛마을금호어울림,84.613,202503,15,"73,000",244,23,개인,개인,2007,동탄중앙로 213,-,직거래,-,2025.4.18
19891,경기도 양주시 덕계동,646-1,0646,0001,금광,55.5927,202503,15,"15,300",금광아파트 제104동,9,개인,개인,2002,평화로1429번길 89-94,-,중개거래,경기 양주시,2025.5.9
19892,경기도 화성시 동탄구 석우동,55,0055,0000,롯데캐슬,87.64,202503,15,"66,900",154,9,개인,개인,2008,동탄반석로 231,-,중개거래,경기 화성시,2025.5.30
19893,경기도 화성시 동탄구 여울동,973,0973,0000,동탄역 반도유보라 아이비파크 8.0,73.6524,202503,15,"96,800",205동,25,개인,개인,2018,동탄광역환승로 73,-,중개거래,경기 화성시 동탄구,2025.6.27
19894,경기도 화성시 동탄구 여울동,998,0998,0000,동탄역에일린의뜰,84.7918,202503,15,"64,600",1604동,2,개인,개인,2016,동탄기흥로353번길 77,-,중개거래,경기 화성시 동탄구,2025.5.30
19895,경기도 화성시 동탄구 여울동,1001,1001,0000,동탄역더샵센트럴시티2차,74.9,202503,15,"72,000",1616동,13,개인,개인,2018,동탄감배산로 19,-,중개거래,경기 화성시 동탄구,2025.6.20
19896,경기도 광주시 능평동,463-1,0463,0001,오포아이파크,84.861,202503,15,"40,000",102동,12,개인,개인,2001,능평로 38,-,중개거래,경기 광주시,2025.6.13
